,Bond Index,Equity Index,META
2012-12-24,-0.0004015257980325426,-0.002372713791399028,0.025514092553474255
2012-12-26,0.0005021088572001453,-0.004756713903478205,-0.01559599225898356
2012-12-27,0.001104085114925324,-0.0009957184108334571,-0.017351979926432892
2012-12-28,0.0007018247443353332,-0.010963819395993113,-0.005374256957722423
2012-12-31,-0.0012022843402464956,0.016930363801269666,0.027402585719899397
2013-01-02,-0.002407463135720711,0.025567337231196197,0.05184068810143372
2013-01-03,-0.002212166918049263,-0.002029181563436011,-0.008214269365583116
2013-01-04,0.0003023279250227162,0.004841208365607974,0.03564997316524665
2013-01-07,0.00020149103364897059,-0.003083445750626357,0.022948534150194932
2013-01-08,0.0011079774375504226,-0.0028996713705780053,-0.0122365944737588
2013-01-09,0.0003018412315123342,0.002617293524622033,0.05264971489206771
2013-01-10,-0.0008046670690001756,0.007638016049501983,0.02321016936682141
2013-01-11,0.0012079726192872897,9.595087315306117e-05,0.01341853311602148
2013-01-14,-0.00020108586366374137,-0.0009594166746619281,-0.024274860248526542
2013-01-15,0.0009050683829445738,0.0011524056467877575,-0.027463662698436697
2013-01-16,0.00040188887772529824,0.00028776978417277554,-0.00830564773527065
2013-01-17,-0.0019082052827156248,0.005657844265439138,0.0097152095300721
2013-01-18,0.0012074864157778364,0.00343282158863345,-0.01592566529384809
2013-01-22,0.0005025125628139726,0.004466406918179233,0.03607551248580254
2013-01-23,0.000100452034153653,0.001513718070009329,0.0029287391450882883
2013-01-24,-0.0007030936118923581,0.0,0.008436087977168327
2013-01-25,-0.0028143532013267247,0.005478934441715433,0.014800546748728438
2013-01-28,-0.000806370325571959,-0.0017850432168357022,0.02948637533862386
2013-01-29,-0.0006052658125693666,0.005082352941176538,-0.05174007520839263
2013-01-30,0.0003028161905722637,-0.003652027343384212,0.014615097181237324
2013-01-31,0.0004036326942482571,-0.00244360902255647,-0.008322670639780538
2013-02-01,-0.001412144442202945,0.010081025061239757,-0.04034861260394218
2013-02-04,0.0022222222222221255,-0.01156608525324121,-0.054490378635334014
2013-02-05,-0.0013102197137673244,0.010569028970463412,0.01885445634254812
2013-02-06,0.0013119386416389212,0.000653655803529718,0.01431563743539388
2013-02-07,0.0,-0.0013997760358341882,-0.013769350397089597
2013-02-08,0.00040314452731315953,0.0057004018316044736,-0.0034904147574594813
2013-02-11,-0.0004029820672980522,-0.0005575171901134324,-0.010157583745300625
2013-02-12,-0.0006047167909696283,0.0015805132019337531,-0.03149325486341836
2013-02-13,-0.0014118596208148038,0.001113895850737956,0.01972959414033526
2013-02-14,0.0017168248838619338,0.0008344923504868262,0.021139382150251018
2013-02-15,-0.00040326645831223473,-0.0010190846766722217,-0.006315800181606379
2013-02-19,-0.0007060010085729873,0.007511824167671266,0.02153956980667071
2013-02-20,0.0007064997981429677,-0.012334315169366783,-0.016246153326829993
2013-02-21,0.0010085728693898233,-0.0060577819198508465,-0.041461645670640146
2013-02-22,0.00030226700251900773,0.00890764181903414,-0.005498589519916552
2013-02-25,0.003223207091055613,-0.01830855018587363,0.0051603870743766045
2013-02-26,-0.0006024096385540689,0.006248224936097779,0.004400400801995774
2013-02-27,-0.00020092425155726623,0.012983347445667537,-0.018984978532404218
2013-02-28,0.00040192926045024,-0.0008358874338255662,0.014142134309566456
2013-03-01,0.0009039775010044604,0.0023238520171036114,0.019449566482403924
2013-03-04,-0.0006021073758153417,0.004636928498562565,-0.002159876594958421
2013-03-05,-0.0006024701275229027,0.009600295393704439,-0.007214966109124976
2013-03-06,-0.0014066110720385439,0.0013714912681721536,-0.002543593519616749
2013-03-07,-0.001509206157561227,0.0019174579985392626,0.04116572420253717
2013-03-08,-0.0017130189439742427,0.004556639023056697,-0.0216935213746845
2013-03-11,0.0,0.003356617980585952,0.006437779365870755
2013-03-12,0.0011103260320985964,-0.0023508137432187715,-0.011016328097591233
2013-03-13,-0.0003024803387779995,0.0016313213703098572,-0.026949335323610213
2013-03-14,-0.00010085728693898233,0.005609844372059358,-0.0014770682530059753
2013-03-15,0.0013112769820455838,-0.00161957890948361,-0.014423124400603005
2013-03-18,0.0013095597864412056,-0.005497476568132709,-0.006003746705529389
2013-03-19,0.0012072434607643956,-0.0024467603081105294,0.0022649855213587866
2013-03-20,-0.0015072347266880115,0.006722383720930258,-0.02598864958707159
2013-03-21,0.0010063399416322394,-0.00821151416711785,-0.004640403573129226
2013-03-22,0.00010053282396715879,0.00709671549449542,-0.0003885092840232307
2013-03-25,0.00020104543626864313,-0.0032523263167404393,-0.023319098023488638
2013-03-26,0.000301507537688428,0.008066708964016955,0.0031834431507244965
2013-03-27,0.001607555510901193,-0.0005394713181082755,0.03490682665900002
2013-03-28,-0.0003009328919650889,0.00404821878373518,-0.019547728091187766
2013-04-01,0.0006020469596628164,-0.004390287608637133,-0.0019546222521372725
2013-04-02,-0.0006016847172082285,0.0052195824334053675,-0.004308680273914067
2013-04-03,0.0017057997190448315,-0.010384959713518271,0.032651452447480134
2013-04-04,0.001602724631874164,0.004070924552198152,0.031238083612351142
2013-04-05,0.0018001800180018623,-0.004234615731146918,0.011821193144874842
2013-04-08,-0.0010981331736048539,0.006605139341295807,-0.019715188762756797
2013-04-09,0.0,0.0035955056179775013,-0.009683434830089377
2013-04-10,-0.001898860683589798,0.012180922525750093,0.03685594346041965
2013-04-11,0.00040052067687978976,0.0037164852667905812,0.016322117080905585
2013-04-12,0.002101891702532388,-0.00282112315965799,-0.022127081695375583
2013-04-15,0.0009988014382740218,-0.022986473344531855,-0.03211675813934933
2013-04-16,-0.0010975853123128543,0.014297348656230113,0.01508294161485102
2013-04-17,0.0007991209669364618,-0.014363457935587465,-0.010772693711198045
2013-04-18,0.00019962072063073322,-0.006607530774800918,-0.035298485029389814
2013-04-19,-0.00039916176030330153,0.008838268792710657,0.0015569874405290118
2013-04-22,0.0002994908655287176,0.004696531791907432,0.009327624383521638
2013-04-23,-0.00029940119760485384,0.010427903631787139,0.00038506850774910895
2013-04-24,0.0002994908655287176,8.896797153012947e-05,0.005003890315852022
2013-04-25,-0.0003992015968063978,0.004092162618984041,0.0011489382840144113
2013-04-26,0.0014976038338658793,-0.0017719500310091618,0.027161476985437583
2013-04-29,-9.969095803019634e-05,0.00718913641608232,0.004841681896448735
